repo_name	repo_path	origin	branch_pattern	link_id	resource
opa	/home/jeremy/git/indexed-repos/opa	https://github.com/open-policy-agent/opa	main	open-policy-agent-opa	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/open-policy-agent-opa
openclaw	/home/jeremy/git/indexed-repos/openclaw	https://github.com/openclaw/openclaw.git	main	openclaw-openclaw	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/openclaw-openclaw
osv.dev	/home/jeremy/git/indexed-repos/osv.dev	https://github.com/google/osv.dev	master	google-osv-dev	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/google-osv-dev
ovs	/home/jeremy/git/indexed-repos/ovs	https://github.com/openvswitch/ovs	main	openvswitch-ovs	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/openvswitch-ovs
podman	/home/jeremy/git/indexed-repos/podman	https://github.com/containers/podman	main	containers-podman	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/containers-podman
presidio	/home/jeremy/git/indexed-repos/presidio	https://github.com/microsoft/presidio	main	microsoft-presidio	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/microsoft-presidio
price-transparency-guide	/home/jeremy/git/indexed-repos/price-transparency-guide	https://github.com/CMSgov/price-transparency-guide.git	master	cmsgov-price-transparency-guide	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/cmsgov-price-transparency-guide
prost	/home/jeremy/git/indexed-repos/prost	https://github.com/tokio-rs/prost	master	tokio-rs-prost	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/tokio-rs-prost
rtnetlink	/home/jeremy/git/indexed-repos/rtnetlink	https://github.com/rust-netlink/rtnetlink	main	rust-netlink-rtnetlink	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/rust-netlink-rtnetlink
rust	/home/jeremy/git/indexed-repos/rust	https://github.com/rust-lang/rust.git	main	rust-lang-rust	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/rust-lang-rust
schema-registry	/home/jeremy/git/indexed-repos/schema-registry	https://github.com/confluentinc/schema-registry	master	confluentinc-schema-registry	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/confluentinc-schema-registry
schema-repo	/home/jeremy/git/indexed-repos/schema-repo	https://github.com/schema-repo/schema-repo.git	master	schema-repo-schema-repo	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/schema-repo-schema-repo
schemars	/home/jeremy/git/indexed-repos/schemars	https://github.com/GREsau/schemars	master	gresau-schemars	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/gresau-schemars
serde	/home/jeremy/git/indexed-repos/serde	https://github.com/serde-rs/serde	master	serde-rs-serde	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/serde-rs-serde
serde_json_path	/home/jeremy/git/indexed-repos/serde_json_path	https://github.com/hiltontj/serde_json_path	main	hiltontj-serde-json-path	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/hiltontj-serde-json-path
servers	/home/jeremy/git/indexed-repos/servers	https://github.com/modelcontextprotocol/servers	main	modelcontextprotocol-servers	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/modelcontextprotocol-servers
sgCheckup	/home/jeremy/git/indexed-repos/sgCheckup	https://github.com/goldfiglabs/sgCheckup.git	main	goldfiglabs-sgcheckup	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/goldfiglabs-sgcheckup
specification	/home/jeremy/git/indexed-repos/specification	https://github.com/modelcontextprotocol/specification	main	modelcontextprotocol-specification	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/modelcontextprotocol-specification
spire	/home/jeremy/git/indexed-repos/spire	https://github.com/spiffe/spire	main	spiffe-spire	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/spiffe-spire
sqlx	/home/jeremy/git/indexed-repos/sqlx	https://github.com/launchbadge/sqlx	main	launchbadge-sqlx	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/launchbadge-sqlx
styleguide	/home/jeremy/git/indexed-repos/styleguide	https://github.com/google/styleguide	gh-pages	google-styleguide	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/google-styleguide
temporal	/home/jeremy/git/indexed-repos/temporal	https://github.com/temporalio/temporal	main	temporalio-temporal	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/temporalio-temporal
titan	/home/jeremy/git/indexed-repos/titan	https://github.com/Titan-Systems/titan.git	main	titan-systems-titan	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/titan-systems-titan
tokio	/home/jeremy/git/indexed-repos/tokio	https://github.com/tokio-rs/tokio	master	tokio-rs-tokio	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/tokio-rs-tokio
tonic	/home/jeremy/git/indexed-repos/tonic	https://github.com/hyperium/tonic	master	hyperium-tonic	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/hyperium-tonic
tower	/home/jeremy/git/indexed-repos/tower	https://github.com/tower-rs/tower	master	tower-rs-tower	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/tower-rs-tower
trivy	/home/jeremy/git/indexed-repos/trivy	https://github.com/aquasecurity/trivy	main	aquasecurity-trivy	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/aquasecurity-trivy
turbo-whisper	/home/jeremy/git/indexed-repos/turbo-whisper	https://github.com/knowall-ai/turbo-whisper.git	main	knowall-ai-turbo-whisper	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/knowall-ai-turbo-whisper
turnstile	/home/jeremy/git/indexed-repos/turnstile	https://github.com/chimera-linux/turnstile	master	chimera-linux-turnstile	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/chimera-linux-turnstile
typify	/home/jeremy/git/indexed-repos/typify	https://github.com/oxidecomputer/typify	main	oxidecomputer-typify	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/oxidecomputer-typify
udisks	/home/jeremy/git/indexed-repos/udisks	https://github.com/storaged-project/udisks	master	storaged-project-udisks	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/storaged-project-udisks
vault	/home/jeremy/git/indexed-repos/vault	https://github.com/hashicorp/vault	main	hashicorp-vault	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/hashicorp-vault
zbus	/home/jeremy/git/indexed-repos/zbus	https://github.com/z-galaxy/zbus	main	z-galaxy-zbus	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/z-galaxy-zbus
zeroclaw	/home/jeremy/git/zeroclaw	https://github.com/zeroclaw-labs/zeroclaw.git	main	zeroclaw-labs-zeroclaw	developerconnect.googleapis.com/projects/dbus-enterprise-2026/locations/us-central1/connections/GithubDevConnectCentral/gitRepositoryLinks/zeroclaw-labs-zeroclaw
